,AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
2015-06-23,37.14,9.66,26.975,75.12,65.87,13.77,53.71,,23.413,22.2232,15.41,19.03,28.27,47.495,75.23,17.7359,41.396,134.78,30.26,21.15,50.56,508.294,25.1333,41.2,59.53,17.61,31.89,36.95,59.81,102.5,41.32,,48.77,87.15,2.82,51.9841,71.49,24.0,33.79,48.01,,25.765,41.8,32.45,47.54,42.59,77.99,31.58,4.341,42.36,34.78,48.9013,13.82,21.145,55.4517,54.14,38.63,47.9751,22.3,39.84
2015-06-24,37.19,9.77,27.17,75.17,66.35,13.77,54.01,,23.7184,22.4808,15.43,18.55,28.3,47.96,74.22,17.7014,40.368,136.81,30.2,21.15,50.5,509.775,25.21,41.05,60.47,18.14,32.17,36.86,60.61,102.5,41.72,,49.71,87.33,2.88,52.1849,71.43,23.98,33.84,48.13,,25.74,42.05,33.06,46.75,43.35,78.11,31.56,4.466,42.76,35.69,49.1928,13.92,21.43,55.0289,54.28,39.13,48.0028,22.21,40.22
2015-06-25,36.49,9.72,27.32,75.63,66.53,13.55,54.47,,23.6974,22.5291,15.38,18.28,27.97,47.295,72.96,17.3362,40.016,135.83,30.868,21.07,51.05,501.978,25.4667,40.5,59.81,17.28,32.51,36.46,59.96,102.22,41.6,,49.05,88.41,2.84,52.5544,71.44,23.95,34.06,48.23,,25.34,41.3,33.26,46.96,43.45,78.14,31.21,4.33,42.95,34.56,48.8649,13.13,21.475,54.7318,54.19,38.82,47.4351,21.91,41.11
2015-06-26,35.93,9.54,27.435,75.78,66.64,13.43,54.22,,23.8238,22.5411,15.23,17.94,27.91,47.33,72.82,17.124,39.79,134.86,31.194,20.77,51.22,503.167,25.2167,39.95,59.23,17.1,33.2,35.55,59.83,102.0,41.89,,49.3,87.85,2.87,52.0323,71.39,23.88,33.98,48.15,,25.12,41.29,33.0,48.06,43.62,78.26,30.98,4.12,42.97,34.37,47.38,13.0,21.525,55.0975,54.34,38.6,47.3105,21.83,40.41
2015-06-29,36.03,9.27,26.875,74.13,64.65,13.38,52.98,,22.8127,22.191,14.71,17.63,27.22,46.17,71.55,16.6601,39.61,133.01,30.46,19.8,49.31,487.357,24.6867,39.2,57.99,16.87,32.7,34.83,59.6,98.91,41.25,,48.02,86.27,2.85,50.9397,68.93,23.14,33.15,47.01,,24.865,40.58,31.86,47.0,43.55,76.47,30.12,3.877,41.6,33.79,46.4599,12.85,21.225,54.0462,52.98,37.4,46.189,21.62,39.57
2015-06-30,35.46,9.36,27.06,74.03,64.46,13.35,53.08,,22.9707,22.4003,14.87,17.85,27.6,46.05,72.11,16.7391,40.004,133.58,30.64,19.975,48.82,483.322,25.2333,39.34,58.42,16.32,34.72,35.06,59.57,98.11,41.5,,48.25,86.79,2.91,50.6746,70.04,23.21,33.52,46.92,,25.365,40.37,31.94,47.87,44.3,76.36,30.21,4.238,41.74,34.38,46.2412,12.38,21.495,54.3547,53.09,37.52,46.3828,21.65,39.31
2015-07-02,35.65,9.42,26.95,74.01,64.07,13.25,53.69,,23.3656,22.5492,15.03,18.22,27.38,45.905,73.42,16.7046,40.54,133.32,31.232,19.67,50.01,495.661,25.3367,39.88,58.83,16.32,36.5,35.45,59.57,100.26,42.5,,48.23,87.81,2.85,51.1888,71.68,23.26,33.47,46.69,,25.47,40.62,32.15,49.62,44.67,76.21,29.92,3.925,41.76,34.64,46.4599,12.05,21.82,54.9718,53.1,38.1,46.4659,21.74,39.68
2015-07-03,36.21,9.43,27.0,74.2,64.21,13.37,53.86,,23.4025,22.5411,15.04,18.38,27.21,46.18,73.87,16.6256,41.014,134.62,31.618,19.44,49.8,501.402,25.4767,39.69,58.46,16.34,36.22,35.99,60.3,101.31,42.68,,47.79,88.78,2.87,51.735,71.2,23.45,33.77,46.64,,25.28,40.45,32.39,49.37,44.46,76.4,30.16,3.98,42.26,34.6,46.2595,12.07,21.92,55.0975,53.58,37.99,46.2998,21.71,40.0
2015-07-06,37.65,9.37,27.225,73.94,63.93,13.73,53.83,,23.7184,22.5291,14.82,17.65,27.88,45.89,72.9,16.443,40.534,134.55,31.37,18.72,50.06,504.444,25.4833,39.9,57.58,15.84,37.75,35.66,60.81,100.33,42.51,,47.36,87.97,2.9,51.2048,72.33,23.09,33.58,47.05,,25.035,40.21,32.12,49.5,44.04,76.37,29.7,3.846,41.75,34.18,45.804,11.87,21.87,55.1203,53.23,37.1,46.4244,22.21,39.44
2015-07-07,36.16,9.59,27.285,74.27,64.25,13.1,53.5,,23.987,22.8712,14.96,17.88,28.09,46.2,73.61,16.5466,40.872,134.68,31.814,19.18,49.99,499.599,25.3267,40.81,58.67,15.02,37.2,37.09,59.29,101.43,42.74,,47.78,90.55,2.83,51.2129,72.65,23.04,33.92,47.06,,25.245,40.5,32.16,50.63,44.39,76.45,29.67,3.915,41.86,34.95,46.0682,12.26,21.99,55.8287,52.91,37.52,46.4244,19.62,40.16
